Id,Sales
1,4839.781269261353
857,4854.211953511274
1713,5147.660225502381
2569,5725.238969044358
3425,4357.377262543333
4281,4357.377262543333
5137,3829.500957308282
5993,3746.9597650291125
6849,3755.492480010005
7705,3761.228821525651
8561,3946.6653621459986
9417,4359.666310933769
10273,4359.666310933769
11129,4831.105090653275
11985,4806.988504599223
12841,4826.903209819944
13697,5164.7378814229505
14553,5995.746090747147
15409,4424.490479004317
16265,4424.490479004317
17121,3842.2182868285076
17977,3744.222629856442
18833,3752.7491117321615
19689,3758.4812628793197
20545,3940.081992688908
21401,4417.384774807039
22257,4417.384774807039
23113,4822.971000497359
23969,4804.102110440145
24825,4824.004857719055
25681,5182.679276307437
26537,6008.543383313419
27393,4416.464300417029
28249,4416.464300417029
29105,3850.747850242698
29961,3796.83526863765
30817,3802.719498791941
31673,3805.1869241105132
32529,3968.6476307685534
33385,4416.464300417029
34241,4416.464300417029
35097,4871.274990995318
35953,4862.742696388849
36809,4903.993275533915
37665,5212.1801727420225
38521,6012.904798085814
39377,4416.464300417029
40233,4416.464300417029
2,7970.025892867051
858,8233.545390400292
1714,8476.110338640641
2570,9743.252757403932
3426,4211.789923299743
4282,4211.789923299743
5138,5626.53539703409
5994,5567.0574406070145
6850,5574.229025580462
7706,5588.110185678475
8562,5596.984306951311
9418,4211.789923299743
10274,4211.789923299743
11130,7955.287782961275
11986,7978.835933397853
12842,8237.699974537458
13698,8476.110338640641
14554,9738.01092378219
15410,4219.201454528178
16266,4219.201454528178
17122,5651.547255830536
17978,5589.091101551245
18834,5593.566449276721
19690,5607.495764173
20546,5616.400670446272
21402,4219.201454528178
22258,4219.201454528178
23114,7955.287782961275
23970,7978.835933397853
24826,8244.691403130586
25682,8484.239933022383
26538,9728.7658785527
27394,4226.929190296188
28250,4226.929190296188
29106,5653.937775175156
29962,5602.23435434597
30818,5615.862640785985
31674,5649.575880007259
32530,5658.54761102784
33386,4240.772159586156
34242,4240.772159586156
35098,7968.142489417863
35954,8009.410311322886
36810,8277.675138813795
37666,8498.936399674632
38522,9725.141754247492
39378,4378.769635038279
40234,4378.769635038279
3,8643.58651688107
859,8617.075120176223
1715,9137.297874595806
2571,10899.048673345718
3427,3057.4559936021165
4283,6207.825696422603
5139,6207.825696422603
5995,6167.155578004765
6851,6167.155578004765
7707,6167.155578004765
8563,6167.155578004765
9419,3202.7024309368053
10275,6207.825696422603
11131,8706.747966751007
11987,8701.930213428232
12843,8675.239866367376
13699,9162.395168951893
14555,11149.243372606317
15411,2887.35800741635
16267,6207.825696422603
17123,6207.825696422603
17979,6167.155578004765
18835,6167.155578004765
19691,6167.155578004765
20547,6167.155578004765
21403,2881.3350947082968
22259,6207.825696422603
23115,8877.399179520224
23971,8872.486998811873
24827,8845.273524159342
25683,9175.93042469037
26539,11160.167657306887
27395,3028.9898188057
28251,6207.825696422603
29107,6207.825696422603
29963,6167.155578004765
30819,6167.155578004765
31675,6167.155578004765
32531,6167.155578004765
33387,3059.1188975857654
34243,6207.825696422603
35099,8877.399179520224
35955,8872.486998811873
36811,8845.273524159342
37667,9175.93042469037
38523,11167.891966356943
39379,3066.5219348834157
40235,6207.825696422603
4,6830.88317166409
860,6777.705598563065
1716,7734.6850079434
2572,9286.46617353676
3428,3586.0480080120215
4284,3586.0480080120215
5140,5240.21295727106
5996,5237.468541870365
6852,5151.2379481929265
7708,5176.591203011723
8564,5243.345951182736
9420,3586.0480080120215
10276,3586.0480080120215
11132,6494.0848006822
11988,6830.88317166409
12844,6777.705598563065
13700,7748.402309982811
14556,9349.268993505551
15412,3586.0480080120215
16268,3586.0480080120215
17124,5334.93371847735
17980,5386.04529657
18836,5315.858064958113
19692,5388.758359003271
20548,5463.597904362696
21404,3586.0480080120215
22260,3586.0480080120215
23116,6595.6003908700395
23972,6997.016014302427
24828,6904.174610697665
25684,7653.323653390347
26540,9215.177089656732
27396,3586.0480080120215
28252,3586.0480080120215
29108,5334.93371847735
29964,5386.04529657
30820,5315.858064958113
31676,5388.758359003271
32532,5463.597904362696
33388,3586.0480080120215
34244,3586.0480080120215
35100,6598.619962710779
35956,7000.219360665745
36812,6907.335452774586
37668,7667.223498784244
38524,9200.622169218275
39380,3586.0480080120215
40236,3586.0480080120215
5,7996.9854602234145
861,8017.749774447505
1717,8323.994351619855
2573,10045.01322963782
3429,3449.1583821885465
4285,6375.570190790038
5141,6392.55863714739
5997,6489.167405292112
6853,6480.445189970379
7709,6610.4085080845125
8565,6749.446912776647
9421,3596.0015141600097
10277,6375.570190790038
11133,8016.695767257621
11989,8007.253585314301
12845,8028.04456090686
13701,8323.994351619855
14557,10574.96175082775
15413,3850.590935821462
16269,6375.570190790038
17125,6392.55863714739
17981,6489.167405292112
18837,6480.445189970379
19693,6610.4085080845125
20549,6749.446912776647
21405,3846.298520192511
22261,6375.570190790038
23117,8016.695767257621
23973,8007.253585314301
24829,8028.04456090686
25685,8323.994351619855
26541,10574.96175082775
27397,3969.927131096319
28253,6375.570190790038
29109,6392.55863714739
29965,6489.167405292112
30821,6480.445189970379
31677,6671.312989381616
32533,6807.962421214174
33389,4029.3908050932364
34245,6375.570190790038
35101,7988.569943016028
35957,7979.16088808133
36813,7999.878920488514
37669,8335.735735625412
38525,10574.96175082775
39381,4052.444210841228
40237,6375.570190790038
6,5911.139679721429
862,5898.073755357077
1718,6593.597028029213
2574,7387.637943497133
3430,4589.234983402835
4286,4589.234983402835
5142,5516.324938202684
5998,5383.626962420672
